question,answer
Which five colours make up the Olympic rings?,"From left to right: blue, yellow, black, green and red"
"Which planet is closest to the sun?",Mercury
How many valves does the heart have?,"There are four valves in the heart: aortic valve, mitral valve, tricuspid valve, and pulmonary valve"
What Are Atoms Made Of?,Atoms consist of a nucleus made of protons and neutrons orbited by electrons.
What colour is found on 75% of the worldâ€™s flags?,Red
What is the largest bird of prey in the world?,The Andean condor
What is dew point?,The temperature at which dew begins to evaporate
What continent contains the most freshwater?,Antarctica
Who was the first cartoon character to be given a star on the Hollywood Walk of Fame?,Mickey Mouse
What chemical element is diamond made of?,Carbon