question,answer
Benevolence,"1) доброжелательность; доброта; 2) щедрость, благотворительность; 3) милосердие."
Fluctuate,"1) колебаться; быть неустойчивым, нерешительным; 2) колыхать(ся), волновать(ся)."
Dullish,1) туповатый; 2) скучноватый.
Attrition,"1) изнашивание, истирание; 2) истощение, изнурение."
Abash,1) смущать; приводить в замешательство.
Acquest,1) приобретение; 2) юр. благоприобретенное имущество.
Discord,1) расходиться в мнениях; 2) разлад; 3) раздор.
Fitting,"1) прилаживание, пригонка; примерка; 2) установка, сборка, монтаж."
Dour,"1) суровый, строгий."
Dilapidate,1) разрушать; 2) разваливаться; приходить в упадок; 3) расточать.
Fracture,1) мед. перелом; 2) излом; трещина.
Donnish,"1) педантичный; 2) важный, надутый."
Bride,1) невеста; новобрачная.
Affability,"1) приветливость; любезность, вежливость."
Allowance,"1) разрешать, позволять; 2) выдавать содержание, паёк."
Ffacility,"1) лёгкость; 2) уступчивость, покладистость; 3) дар, способность; 4) плавность, беглость (речи); 5) возможности; благоприятные условия; 6) удобства; оборудование."
Bequeath,1) завещать.
Ffleetness,"1) быстрота, проворство; 2) быстротечность."
Approximative,1) приблизительный; приближённый.
Exchangeable,1) годный для обмена.
Exacting,"1) требовательный; 2) чрезмерный, изнуряющий (о работе и т. п.)."
Exertion,"1) старание, усилие, напряжение."
Chippy,1) зазубренный (о ноже); щербатый (о посуде); 2) сленг раздражительный (с похмелья); «не в своей тарелке».
Eject,"1) выгонять(с места, должности), выселять (from); 2) извергать, выбрасывать (дым и т. п.)."